date,product,company,unit_cost,price,competitor_price,promo,sales,revenue,day_of_week,month
2019-10-16,Dominos,Dominos,153.58,255.96,278.99,0,0,0.0,2,10
2019-10-17,Dominos,Dominos,153.87,256.45,242.17,0,0,0.0,3,10
2019-10-16,Dominos,Dominos,153.58,255.96,278.99,0,0,0.0,2,10
2019-10-17,Dominos,Dominos,153.87,256.45,242.17,0,0,0.0,3,10
2019-10-18,Dominos,Dominos,153.42,255.7,281.58,0,0,0.0,4,10
2019-10-21,Dominos,Dominos,154.51,257.52,257.07,0,0,0.0,0,10
2019-10-22,Dominos,Dominos,155.36,258.94,229.1,1,20,0.0,1,10
2019-10-23,Dominos,Dominos,153.6,256.0,223.13,0,0,0.0,2,10
2019-10-24,Dominos,Dominos,158.16,263.6,290.64,0,0,0.0,3,10
2019-10-25,Dominos,Dominos,163.05,271.75,235.52,0,0,0.0,4,10
2019-10-28,Dominos,Dominos,161.68,269.46,251.73,0,0,0.0,0,10
2019-10-29,Dominos,Dominos,157.91,263.18,250.08,0,0,0.0,1,10
2019-10-30,Dominos,Dominos,162.54,270.9,244.32,0,0,0.0,2,10
2019-10-31,Dominos,Dominos,162.97,271.62,256.45,0,0,0.0,3,10
2019-11-01,Dominos,Dominos,161.56,269.26,288.86,0,0,0.0,4,11
2019-11-04,Dominos,Dominos,161.57,269.29,230.08,0,0,0.0,0,11
2019-11-05,Dominos,Dominos,165.79,276.31,303.43,0,0,0.0,1,11
2019-11-06,Dominos,Dominos,166.69,277.82,307.54,0,0,0.0,2,11
2019-11-07,Dominos,Dominos,169.61,282.68,271.85,0,0,0.0,3,11
2019-11-08,Dominos,Dominos,168.4,280.66,251.49,1,20,0.0,4,11
2019-11-11,Dominos,Dominos,168.41,280.69,289.18,0,0,0.0,0,11
2019-11-12,Dominos,Dominos,166.73,277.88,246.17,0,0,0.0,1,11
2019-11-13,Dominos,Dominos,167.64,279.4,268.08,0,0,0.0,2,11
2019-11-14,Dominos,Dominos,167.2,278.66,316.98,0,0,0.0,3,11
2019-11-15,Dominos,Dominos,168.85,281.41,323.24,0,0,0.0,4,11
2019-11-18,Dominos,Dominos,170.77,284.61,307.84,0,0,0.0,0,11
2019-11-19,Dominos,Dominos,171.44,285.74,269.54,0,0,0.0,1,11
2019-11-20,Dominos,Dominos,172.94,288.24,304.47,0,0,0.0,2,11
2019-11-21,Dominos,Dominos,170.43,284.05,301.55,0,0,0.0,3,11
2019-11-22,Dominos,Dominos,171.46,285.76,276.14,1,20,0.0,4,11
2019-11-25,Dominos,Dominos,175.8,293.0,305.38,0,0,0.0,0,11
2019-11-26,Dominos,Dominos,173.48,289.14,246.7,0,0,0.0,1,11
2019-11-27,Dominos,Dominos,177.2,295.33,269.55,0,0,0.0,2,11
2019-11-29,Dominos,Dominos,176.58,294.3,296.52,0,0,0.0,4,11
2019-12-02,Dominos,Dominos,176.43,294.05,264.39,0,0,0.0,0,12
2019-12-03,Dominos,Dominos,170.45,284.09,255.62,0,0,0.0,1,12
2019-12-04,Dominos,Dominos,171.6,286.0,314.85,0,0,0.0,2,12
2019-12-05,Dominos,Dominos,172.12,286.87,328.97,0,0,0.0,3,12
2019-12-06,Dominos,Dominos,171.94,286.57,291.38,0,0,0.0,4,12
2019-12-09,Dominos,Dominos,171.82,286.37,315.5,0,0,0.0,0,12
2019-12-10,Dominos,Dominos,171.14,285.24,327.2,0,0,0.0,1,12
2019-12-11,Dominos,Dominos,176.17,293.62,262.05,0,0,0.0,2,12
2019-12-12,Dominos,Dominos,177.99,296.65,292.04,0,0,0.0,3,12
2019-12-13,Dominos,Dominos,176.96,294.93,285.42,0,0,0.0,4,12
2019-12-16,Dominos,Dominos,175.29,292.15,255.34,0,0,0.0,0,12
2019-12-17,Dominos,Dominos,175.05,291.75,314.1,0,0,0.0,1,12
2019-12-18,Dominos,Dominos,170.59,284.32,278.67,0,0,0.0,2,12
2019-12-19,Dominos,Dominos,175.2,292.0,289.31,0,0,0.0,3,12
2019-12-20,Dominos,Dominos,175.2,292.0,261.4,0,0,0.0,4,12
2019-12-23,Dominos,Dominos,172.96,288.27,260.68,0,0,0.0,0,12
2019-12-24,Dominos,Dominos,173.78,289.64,325.01,0,0,0.0,1,12
2019-12-26,Dominos,Dominos,175.34,292.24,252.32,0,0,0.0,3,12
2019-12-27,Dominos,Dominos,175.39,292.31,268.88,0,0,0.0,4,12
2019-12-30,Dominos,Dominos,175.95,293.25,274.96,1,20,0.0,0,12
2019-12-31,Dominos,Dominos,176.27,293.78,292.92,0,0,0.0,1,12
2020-01-02,Dominos,Dominos,176.04,293.4,301.01,0,0,0.0,3,1
2020-01-03,Dominos,Dominos,176.8,294.67,294.08,0,0,0.0,4,1
2020-01-06,Dominos,Dominos,176.37,293.95,257.28,0,0,0.0,0,1
2020-01-07,Dominos,Dominos,175.11,291.85,269.41,0,0,0.0,1,1
2020-01-08,Dominos,Dominos,174.34,290.56,320.51,0,0,0.0,2,1
2020-01-09,Dominos,Dominos,173.34,288.9,300.82,0,0,0.0,3,1
2020-01-10,Dominos,Dominos,173.45,289.09,302.03,1,50,0.0,4,1
2020-01-13,Dominos,Dominos,170.4,284.0,298.5,0,0,0.0,0,1
2020-01-14,Dominos,Dominos,171.07,285.12,307.61,0,0,0.0,1,1
2020-01-15,Dominos,Dominos,173.14,288.57,250.32,0,0,0.0,2,1
2020-01-16,Dominos,Dominos,172.42,287.36,275.86,0,0,0.0,3,1
2020-01-17,Dominos,Dominos,171.88,286.47,289.87,0,0,0.0,4,1
2020-01-21,Dominos,Dominos,171.07,285.11,271.29,0,0,0.0,1,1
2020-01-22,Dominos,Dominos,171.55,285.91,315.46,0,0,0.0,2,1
2020-01-23,Dominos,Dominos,172.81,288.02,286.51,0,0,0.0,3,1
2020-01-24,Dominos,Dominos,171.06,285.1,308.08,1,50,0.0,4,1
2020-01-27,Dominos,Dominos,169.73,282.89,312.76,0,0,0.0,0,1
2020-01-28,Dominos,Dominos,170.51,284.18,284.59,0,0,0.0,1,1
2020-01-29,Dominos,Dominos,171.28,285.47,320.54,0,0,0.0,2,1
2020-01-30,Dominos,Dominos,169.44,282.4,289.78,0,0,0.0,3,1
2020-01-31,Dominos,Dominos,169.05,281.75,311.36,0,0,0.0,4,1
2020-02-03,Dominos,Dominos,162.45,270.75,257.8,1,20,0.0,0,2
2020-02-04,Dominos,Dominos,164.04,273.4,273.3,0,0,0.0,1,2
2020-02-05,Dominos,Dominos,166.81,278.01,280.63,0,0,0.0,2,2
2020-02-06,Dominos,Dominos,167.65,279.41,246.3,0,0,0.0,3,2
2020-02-07,Dominos,Dominos,165.31,275.51,267.13,0,0,0.0,4,2
2020-02-10,Dominos,Dominos,164.91,274.85,309.26,0,0,0.0,0,2
2020-02-11,Dominos,Dominos,165.45,275.75,286.57,0,0,0.0,1,2
2020-02-12,Dominos,Dominos,168.62,281.03,253.84,0,0,0.0,2,2
2020-02-13,Dominos,Dominos,171.62,286.03,272.2,0,0,0.0,3,2
2020-02-14,Dominos,Dominos,174.96,291.6,264.62,0,0,0.0,4,2
2020-02-18,Dominos,Dominos,177.47,295.78,253.62,1,20,0.0,1,2
2020-02-19,Dominos,Dominos,178.26,297.1,335.2,1,50,0.0,2,2
2020-02-20,Dominos,Dominos,223.9,373.16,367.36,0,0,0.0,3,2
2020-02-21,Dominos,Dominos,223.18,371.96,350.48,0,0,0.0,4,2
2020-02-24,Dominos,Dominos,217.81,363.01,373.73,0,0,0.0,0,2
2020-02-25,Dominos,Dominos,221.2,368.66,314.17,0,0,0.0,1,2
2020-02-26,Dominos,Dominos,220.0,366.67,342.25,0,0,0.0,2,2
2020-02-27,Dominos,Dominos,208.72,347.86,369.05,0,0,0.0,3,2
2020-02-28,Dominos,Dominos,203.68,339.46,353.08,0,0,0.0,4,2
2020-03-02,Dominos,Dominos,208.51,347.52,397.75,0,0,0.0,0,3
2020-03-03,Dominos,Dominos,203.68,339.47,351.73,0,0,0.0,1,3
2020-03-04,Dominos,Dominos,205.13,341.89,339.58,0,0,0.0,2,3
2020-03-05,Dominos,Dominos,199.82,333.03,359.15,0,0,0.0,3,3
2020-03-06,Dominos,Dominos,201.85,336.41,377.12,1,50,0.0,4,3
2020-03-09,Dominos,Dominos,202.0,336.67,358.96,1,50,0.0,0,3
2020-03-10,Dominos,Dominos,206.37,343.95,391.75,0,0,0.0,1,3
2020-03-11,Dominos,Dominos,199.6,332.66,360.8,0,0,0.0,2,3
2020-03-12,Dominos,Dominos,190.27,317.11,352.0,0,0,0.0,3,3
2020-03-13,Dominos,Dominos,189.98,316.63,279.97,0,0,0.0,4,3
2020-03-16,Dominos,Dominos,171.79,286.32,306.28,0,0,0.0,0,3
2020-03-17,Dominos,Dominos,179.24,298.74,293.37,0,0,0.0,1,3
2020-03-18,Dominos,Dominos,174.0,290.0,294.62,0,0,0.0,2,3
2020-03-19,Dominos,Dominos,193.88,323.14,338.08,0,0,0.0,3,3
2020-03-20,Dominos,Dominos,179.97,299.95,342.23,0,0,0.0,4,3
2020-03-23,Dominos,Dominos,194.32,323.87,370.95,1,50,0.0,0,3
2020-03-24,Dominos,Dominos,206.14,343.56,321.73,0,0,0.0,1,3
2020-03-25,Dominos,Dominos,192.87,321.45,343.99,0,0,0.0,2,3
2020-03-26,Dominos,Dominos,203.11,338.51,363.9,0,0,0.0,3,3
2020-03-27,Dominos,Dominos,203.24,338.74,323.14,0,0,0.0,4,3
2020-03-30,Dominos,Dominos,208.05,346.75,307.62,0,0,0.0,0,3
2020-03-31,Dominos,Dominos,194.44,324.07,279.44,0,0,0.0,1,3
2020-04-01,Dominos,Dominos,200.26,333.77,361.54,0,0,0.0,2,4
2020-04-02,Dominos,Dominos,200.07,333.45,332.42,0,0,0.0,3,4
2020-04-03,Dominos,Dominos,196.94,328.23,376.04,0,0,0.0,4,4
2020-04-06,Dominos,Dominos,203.11,338.52,334.96,0,0,0.0,0,4
2020-04-07,Dominos,Dominos,200.38,333.96,381.84,0,0,0.0,1,4
2020-04-08,Dominos,Dominos,206.3,343.83,334.71,0,0,0.0,2,4
2020-04-09,Dominos,Dominos,206.18,343.64,373.92,0,0,0.0,3,4
2020-04-13,Dominos,Dominos,213.08,355.14,310.91,1,20,0.0,0,4
2020-04-14,Dominos,Dominos,214.96,358.26,364.22,0,0,0.0,1,4
2020-04-15,Dominos,Dominos,212.77,354.62,386.75,1,50,0.0,2,4
2020-04-16,Dominos,Dominos,216.28,360.47,406.4,0,0,0.0,3,4
2020-04-17,Dominos,Dominos,217.78,362.97,398.1,0,0,0.0,4,4
2020-04-20,Dominos,Dominos,222.29,370.48,319.02,0,0,0.0,0,4
2020-04-21,Dominos,Dominos,219.13,365.22,351.27,1,20,0.0,1,4
2020-04-22,Dominos,Dominos,230.25,383.75,331.79,0,0,0.0,2,4
2020-04-23,Dominos,Dominos,221.78,369.64,326.31,0,0,0.0,3,4
2020-04-24,Dominos,Dominos,220.37,367.29,386.61,0,0,0.0,4,4
2020-04-27,Dominos,Dominos,217.22,362.03,385.19,0,0,0.0,0,4
2020-04-28,Dominos,Dominos,213.61,356.01,385.24,0,0,0.0,1,4
2020-04-29,Dominos,Dominos,217.21,362.01,401.7,0,0,0.0,2,4
2020-04-30,Dominos,Dominos,217.16,361.93,387.93,1,50,0.0,3,4
