date,product,price,sales,wheat_price,sugar_price,unit_cost,promo
2025-01-01,A,5.63,262,200.42,105.49,2.81,0
2025-01-02,B,5.61,260,201.43,109.65,2.83,0
2025-01-03,A,5.6,292,200.71,108.81,2.82,0
2025-01-04,A,5.69,240,199.89,109.44,2.82,0
2025-01-05,A,5.62,201,201.17,111.28,2.83,0
2025-01-06,A,5.6,273,200.51,110.28,2.82,0
2025-01-07,B,5.81,252,203.02,104.77,2.82,0
2025-01-08,B,5.79,281,205.99,103.41,2.83,0
2025-01-09,A,5.85,274,202.72,108.11,2.83,0
2025-01-10,A,5.71,288,202.86,104.1,2.82,0
2025-01-11,A,5.84,245,205.47,105.73,2.83,0
2025-01-12,C,5.83,265,205.59,107.03,2.84,0
2025-01-13,C,5.82,249,205.47,101.64,2.83,0
2025-01-14,A,5.72,272,203.77,100.25,2.82,0
2025-01-15,A,5.87,276,205.94,104.52,2.83,0
2025-01-16,A,5.97,336,207.75,103.6,2.84,1
2025-01-17,A,5.92,251,204.02,102.51,2.82,0
2025-01-18,B,5.83,348,206.14,102.55,2.83,1
2025-01-19,B,5.86,237,203.59,100.21,2.81,0
2025-01-20,A,5.91,198,205.13,98.36,2.82,0
2025-01-21,A,5.6,313,204.35,100.5,2.82,0
2025-01-22,B,5.79,275,207.87,98.34,2.83,0
2025-01-23,B,5.81,244,206.1,96.43,2.82,0
2025-01-24,A,5.79,223,209.46,100.18,2.84,0
2025-01-25,A,5.84,347,209.51,98.49,2.84,1
2025-01-26,A,5.75,238,209.08,98.88,2.83,0
2025-01-27,B,5.65,235,204.67,95.55,2.81,0
2025-01-28,A,5.61,274,208.87,95.69,2.83,0
2025-01-29,B,5.6,381,210.08,94.49,2.83,1
2025-01-30,A,5.46,317,210.62,94.23,2.83,0
2025-01-31,B,5.45,274,207.54,95.92,2.82,0
2025-02-01,A,5.49,271,209.83,93.51,2.83,0
2025-02-02,B,5.53,392,209.01,95.36,2.83,1
2025-02-03,C,5.32,343,209.51,94.92,2.83,0
2025-02-04,A,5.3,271,213.4,97.92,2.85,0
2025-02-05,B,5.28,302,209.8,90.74,2.82,0
2025-02-06,A,5.34,291,211.47,94.99,2.84,0
2025-02-07,A,5.2,332,213.41,92.76,2.84,0
2025-02-08,B,5.29,259,210.57,92.66,2.83,0
2025-02-09,A,5.08,282,211.59,89.58,2.83,0
2025-02-10,A,5.12,294,212.1,91.39,2.83,0
2025-02-11,C,5.1,287,212.06,93.66,2.84,0
2025-02-12,A,5.17,298,209.52,91.91,2.82,0
2025-02-13,A,5.19,313,212.14,92.18,2.83,0
2025-02-14,A,4.98,278,214.72,91.42,2.84,0
2025-02-15,B,5.03,273,208.9,94.33,2.82,0
2025-02-16,A,5.14,279,213.69,92.03,2.84,0
2025-02-17,C,5.07,303,212.17,87.77,2.82,0
2025-02-18,A,5.01,314,210.6,90.93,2.82,0
2025-02-19,A,5.24,272,215.82,88.54,2.84,0
2025-02-20,C,5.22,311,213.26,86.19,2.83,0
2025-02-21,A,5.24,329,209.24,91.88,2.82,0
2025-02-22,B,5.19,310,211.68,95.88,2.84,0
2025-02-23,A,5.35,271,212.57,93.62,2.84,0
2025-02-24,A,5.28,260,210.9,91.53,2.83,0
2025-02-25,B,5.43,302,212.49,92.36,2.83,0
2025-02-26,A,5.3,297,210.83,96.91,2.84,0
2025-02-27,A,5.35,282,212.12,95.39,2.84,0
2025-02-28,B,5.47,271,213.47,95.62,2.85,0
2025-03-01,A,5.44,312,209.04,95.89,2.83,0
2025-03-02,C,5.6,258,210.58,96.57,2.84,0
2025-03-03,A,5.6,285,209.02,98.61,2.83,0
2025-03-04,C,5.55,264,209.96,98.63,2.84,0
2025-03-05,A,5.67,416,207.08,98.5,2.83,1
2025-03-06,A,5.67,271,208.03,96.53,2.83,0
2025-03-07,A,5.81,260,208.53,100.19,2.83,0
2025-03-08,A,5.72,316,210.43,98.35,2.84,0
2025-03-09,C,5.76,259,210.63,102.47,2.85,0
2025-03-10,A,5.92,218,205.38,98.29,2.82,0
2025-03-11,A,6.03,236,206.12,101.11,2.83,0
2025-03-12,B,6.03,262,208.68,101.92,2.84,0
2025-03-13,C,5.89,299,203.07,99.82,2.81,0
2025-03-14,A,5.91,244,205.78,106.44,2.84,0
2025-03-15,B,6.02,186,206.16,106.43,2.84,0
2025-03-16,A,5.89,222,208.51,103.07,2.84,0
2025-03-17,A,5.82,239,207.01,106.02,2.84,0
2025-03-18,A,5.9,251,204.61,105.68,2.83,0
2025-03-19,A,5.92,295,204.14,100.13,2.82,0
2025-03-20,C,5.8,283,203.99,106.26,2.83,0
2025-03-21,A,5.71,292,207.15,106.01,2.84,0
2025-03-22,A,5.71,227,202.85,106.64,2.82,0
2025-03-23,A,5.85,254,202.7,104.63,2.82,0
2025-03-24,B,5.71,300,203.61,106.52,2.83,0
2025-03-25,A,5.72,281,202.25,106.95,2.82,0
2025-03-26,B,5.72,285,201.69,109.89,2.83,0
2025-03-27,A,5.71,286,199.44,108.36,2.81,0
2025-03-28,A,5.6,326,201.23,107.81,2.82,0
2025-03-29,C,5.62,238,199.95,110.98,2.82,0
2025-03-30,A,5.47,370,202.75,106.87,2.82,1
2025-03-31,A,5.47,278,201.31,107.22,2.82,0
2025-04-01,B,5.38,309,199.53,104.35,2.81,0
2025-04-02,B,5.51,284,200.5,111.06,2.82,0
2025-04-03,B,5.37,317,198.07,109.75,2.81,0
2025-04-04,A,5.28,299,200.43,109.52,2.82,0
2025-04-05,A,5.27,293,197.91,108.86,2.81,0
2025-04-06,C,5.25,277,198.67,107.53,2.81,0
2025-04-07,A,5.29,253,194.52,107.49,2.79,0
2025-04-08,A,5.08,313,197.39,106.28,2.8,0
2025-04-09,A,5.09,350,192.92,106.06,2.78,0
2025-04-10,A,5.12,305,191.83,106.24,2.78,0
2025-04-11,C,5.34,296,194.9,108.78,2.8,0
2025-04-12,A,5.2,312,193.32,106.46,2.79,0
2025-04-13,B,5.1,266,195.07,104.81,2.79,0
2025-04-14,A,5.16,296,198.86,103.31,2.8,0
2025-04-15,B,5.26,272,192.34,102.73,2.77,0
2025-04-16,A,5.08,467,192.39,106.71,2.78,1
2025-04-17,C,5.08,391,193.7,104.01,2.78,0
2025-04-18,A,5.22,362,193.93,102.61,2.78,0
2025-04-19,A,5.17,292,192.26,101.24,2.77,0
2025-04-20,C,5.21,412,191.87,99.17,2.77,1
2025-04-21,A,5.14,297,193.38,100.7,2.77,0
2025-04-22,A,5.36,294,192.7,102.03,2.77,0
2025-04-23,A,5.37,345,189.3,98.94,2.76,0
2025-04-24,A,5.31,282,190.92,98.71,2.76,0
2025-04-25,B,5.35,327,190.88,98.17,2.76,0
2025-04-26,A,5.18,296,188.43,98.28,2.75,0
2025-04-27,A,5.43,302,190.81,94.34,2.75,0
2025-04-28,B,5.4,277,188.34,96.53,2.75,0
2025-04-29,A,5.49,264,191.77,94.78,2.76,0
2025-04-30,C,5.55,298,189.99,97.77,2.76,0
2025-05-01,A,5.51,317,189.58,93.99,2.75,0
2025-05-02,A,5.45,294,188.03,96.23,2.74,0
2025-05-03,A,5.65,271,188.8,97.7,2.75,0
2025-05-04,A,5.6,239,184.88,93.62,2.73,0
2025-05-05,A,5.67,307,186.46,92.67,2.73,1
2025-05-06,B,5.69,288,189.31,93.91,2.75,0
2025-05-07,B,5.74,294,184.21,93.21,2.72,0
2025-05-08,A,5.61,294,190.05,90.95,2.74,0
2025-05-09,A,5.92,257,184.77,93.61,2.73,0
2025-05-10,C,5.87,268,189.7,96.51,2.75,0
2025-05-11,A,5.95,213,186.43,91.79,2.73,0
2025-05-12,A,6.04,204,189.62,91.77,2.74,0
2025-05-13,A,5.89,244,188.29,89.99,2.73,0
2025-05-14,B,5.75,305,184.93,92.66,2.73,0
2025-05-15,A,5.83,239,190.5,89.51,2.74,0
2025-05-16,C,5.8,294,190.89,89.81,2.74,0
2025-05-17,A,5.85,227,187.9,94.64,2.74,0
2025-05-18,B,5.89,202,187.52,90.36,2.73,0
2025-05-19,A,5.71,279,187.8,94.47,2.74,0
2025-05-20,A,5.87,248,186.23,95.53,2.74,0
2025-05-21,A,5.7,247,190.46,93.21,2.75,0
2025-05-22,B,5.82,265,187.27,94.04,2.74,0
2025-05-23,A,5.76,291,188.36,97.12,2.75,0
2025-05-24,A,5.71,284,187.0,93.13,2.73,0
2025-05-25,A,5.69,234,187.47,92.69,2.74,0
